surveyId,lang,country,countryPop,sneType,party.string,euFundRec,mlgS1,mlgS2,mlgS3,mlgS4,mlgS5,mlgC1,mlgC2,euCompSocpol,euCompEc,euCompInAf,euCompForAf,euCompOv,snaCompSocpol,snaCompEc,snaCompInAf,snaCompForAf,snaCompOv,snaCompC1,snaCompC2,effectiveIntOrg,effectiveDirRel,effectiveNatDel,intorgUseEc,intorgUsePol,intorgUseCul,intorgUseOv,euFundImp,euFundImp.bin,represent,represent.bin,norepSneRep,norepKnow,norepMotiv,norepOpin,repTime,repDur,repSatis,repPersImp,repBenEc,repBenPol,repBenDem,repBenMlg,repOp,repVoteCom,repVoteNatDel,repVoteParty,repVoteSne,extOffice,extOfficeBin,nooffSneOff,noooffKnow,nooffMotiv,extOffTime,extOffDur,extOffSatis,extOffPersImp,age,gender,eduLev,polLeftRight,polIdLoc,polIdNat,polIdEu,polIdCul,polIdIdeo
1404,en,Denmark,5673000,Local,Venstre,1,4,5,4,2,5,3,3,4,5,5,5,4,5,4,5,5,5,2,5,1,1,1,4,4,5,4,3,1,NONE,0,0,3,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,3,5,,NA,NA,NA,44,Male,2,6,1,0,1,0,1
1410,de,Switzerland,8265000,Local,glp,0,3,5,2,2,4,5,5,3,3,3,3,3,3,3,3,2,3,4,4,1,1,0,4,4,3,3,0,0,NONE,0,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,1,3,,NA,NA,NA,39,Female,1,5,1,1,0,0,1
1413,de,Netherlands,16933000,RegionAd,VVD,1,4,3,4,4,2,3,5,1,4,1,3,3,2,3,1,1,2,1,4,0,0,0,3,3,3,3,3,1,NONE,0,1,3,3,LESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,3,4,,NA,NA,NA,45,Male,2,8,1,0,0,0,1
1414,fr,France,66121000,Local,EELV,1,4,5,5,NA,5,5,5,5,5,5,5,5,4,2,1,1,5,5,5,1,1,1,5,5,5,5,3,1,COR,1,,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,SAME,NA,NA,NA,NA,NONE,0,0,3,4,,NA,NA,NA,59,Male,3,1,1,0,0,0,1
1415,fr,Switzerland,8265000,Local,Parti socialiste lausannois,0,4,4,3,3,3,4,3,2,2,2,4,3,4,3,3,2,4,5,3,1,1,0,2,3,4,3,3,1,NONE,0,1,2,2,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,1,2,,NA,NA,NA,52,Male,2,3,1,0,0,0,0
1416,fr,Switzerland,8265000,RegionLeg,PLR Parti LibÇral Radical,0,3,1,1,1,1,5,5,2,2,2,2,2,4,5,2,1,3,5,5,0,1,0,NA,1,NA,NA,1,0,NONE,0,0,1,1,LESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,1,1,,NA,NA,NA,50,Male,3,6,1,0,0,0,1
1418,en,France,66121000,Local,none,1,4,5,4,4,5,NA,4,2,5,3,4,4,3,2,2,1,2,4,3,1,1,0,2,4,4,3,3,1,CLRAE,1,,NA,NA,NA,CURRENT,2,2,3,1,4,4,NA,NA,NA,NA,NA,NA,NONE,0,0,2,1,,NA,NA,NA,56,Male,3,2,0,0,1,0,1
1419,de,Germany,81276000,Local,SPD,1,4,5,4,2,1,4,2,3,4,3,5,4,3,2,2,1,3,4,2,1,1,0,3,3,4,3,3,1,NONE,0,0,4,3,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,1,1,,NA,NA,NA,57,Male,NA,2,1,1,1,0,1
1420,en,Finland,5475000,Local,Swedish People's Party of Finland,1,2,5,5,2,2,4,3,2,4,4,5,4,1,2,1,1,2,3,4,1,1,1,4,4,5,4,4,1,NONE,0,1,3,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,3,2,,NA,NA,NA,50,Female,3,7,1,0,0,1,1
1423,de,Switzerland,8265000,Local,SP,0,2,4,4,2,4,5,4,4,5,4,3,4,4,2,3,2,3,NA,4,0,0,1,NA,1,1,1,0,0,NONE,0,0,2,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,4,,NA,NA,NA,35,Male,3,3,1,0,0,0,1
